States,per capita CO2 (kg per person),per capita CO (kg per person),per capita CH4 (kg per person)
Andhra Pradesh,974.17,27.18,16.97
Arunachal,405.9,17.43,25.82
Assam,340.91,16.63,21.29
Bihar,179.01,8.83,9.59
Chattisgarh,1963.88,17.56,22.37
Goa,2662.51,23.12,7.62
Gujarat,1310.58,24.01,12.26
Haryana,1381.86,17.9,21.57
Himachal Pradesh,784.16,16.98,18.28
Jammu & Kashmir,509.03,15.59,14.42
Jharkhand,1403.43,15.02,15.39
Karnataka,888.86,24.93,12.2
Kerala,780.12,18.29,4.52
Madhya Pradesh,656.37,16.14,15.15
Maharashtra,936.7,23.58,9.8
Manipur,379.2,10.8,22.63
Meghalaya,691.53,12.65,19.8
Mizoram,754.71,15.4,10.72
Nagaland,1275.27,24.13,29.08
Odhisha,700.13,18.4,19.88
Punjab,1618.08,27.9,33.38
Rajasthan,793.69,14.33,14.18
Sikkim,711.39,11.68,10.04
Tamilnadu ,985.7,26.6,10.4
Tripura,295.64,17.76,19.23
Uttar Pradesh,404.26,12.4,12.87
Uttarakhand,493.01,14.28,17.93
West Bengal,763.13,22.69,15.99
